player,team,touches,final_third_saved,avg_position_saved,error
Aaron Hickey,Brentford,449,True,True,
Aaron Ramsdale,Newcastle,507,False,True,
Aaron Wan-Bissaka,West Ham,1359,True,True,
Abdukodir Khusanov,Man City,1304,True,True,
Adam Armstrong,Wolves,282,True,True,
Adam Smith,Bournemouth,573,True,True,
Adam Wharton,Crystal Palace,1703,True,True,
Adama Traoré,Fulham,148,True,True,
Adama Traoré,West Ham,72,True,True,
Adrien Truffert,Bournemouth,2605,True,True,
Alejandro Garnacho,Chelsea,756,True,True,
Alex Iwobi,Fulham,1820,True,True,
Alex Murphy,Newcastle,13,True,True,
Alex Scott,Bournemouth,2017,True,True,
Alex Tóth,Bournemouth,97,True,True,
Alexander Isak,Liverpool,180,True,True,
Alexis Mac Allister,Liverpool,1865,True,True,
Alisson Becker,Liverpool,1064,True,True,
Alphonse Areola,West Ham,762,False,True,
Altay Bayindir,Man Utd,225,False,True,
Alysson,Aston Villa,30,True,True,
Amad Diallo,Man Utd,1421,True,True,
Amadou Onana,Aston Villa,1151,True,True,
Amine Adli,Bournemouth,677,True,True,
Andrey Santos,Chelsea,989,True,True,
André,Wolves,1772,True,True,
Andrés García,Aston Villa,64,True,True,
Andy Irving,West Ham,129,True,True,
Andy Robertson,Liverpool,962,True,True,
Angel Gomes,Wolves,266,True,True,
Angus Gunn,Nottingham Forest,21,False,True,
Anthony Elanga,Newcastle,737,True,True,
Anthony Gordon,Newcastle,953,True,True,
Antoine Semenyo,Bournemouth,988,True,True,
Antoine Semenyo,Man City,721,True,True,
Anton Stach,Leeds,1529,True,True,
Antonee Robinson,Fulham,1293,True,True,
Antoni Milambo,Brentford,19,True,True,
Antonín Kinsky,Tottenham,261,False,True,
Ao Tanaka,Leeds,907,True,True,
Archie Gray,Tottenham,766,True,True,
Armando Broja,Burnley,326,True,True,
Arnaud Kalimuendo,Nottingham Forest,46,True,True,
Arthur Masuaku,Sunderland,88,True,True,
Ashley Barnes,Burnley,27,True,True,
Axel Disasi,West Ham,711,True,True,
Axel Tuanzebe,Burnley,724,True,True,
Ayden Heaven,Man Utd,631,True,True,
Bafodé Diakité,Bournemouth,922,True,True,
Bart Verbruggen,Brighton,1869,False,True,
Bashir Humphreys,Burnley,1162,True,True,
Ben Davies,Tottenham,105,True,True,
Ben Gannon-Doak,Bournemouth,83,True,True,
Ben White,Arsenal,546,True,True,
Benjamin Sesko,Man Utd,556,True,True,
Benoît Badiashile,Chelsea,499,True,True,
Bernardo Silva,Man City,2667,True,True,
Bernd Leno,Fulham,1776,False,True,
Bertrand Traoré,Sunderland,320,True,True,
Beto,Everton,564,True,True,
Borna Sosa,Crystal Palace,73,True,True,
