game_id,period,minute,second,expanded_minute,type,outcome_type,team_id,team,player_id,player,x,y,end_x,end_y,goal_mouth_y,goal_mouth_z,blocked_x,blocked_y,qualifiers,is_touch,is_shot,is_goal,card_type,related_event_id,related_player_id
1834308,FirstHalf,0,0.0,0,Start,Successful,1730,Augsburg,,,0.0,0.0,,,,,,,[],False,,,,,
1834308,FirstHalf,0,0.0,0,Start,Successful,7614,RBL,,,0.0,0.0,,,,,,,[],False,,,,,
1834308,FirstHalf,0,0.0,0,Pass,Successful,7614,RBL,418587.0,Nicolas Seiwald,50.0,50.0,34.9,53.0,,,,,"[{'type': {'displayName': 'StandingSave', 'value': 178}}, {'type': {'displayName': 'Zone', 'value': 56}, 'value': 'Back'}, {'type': {'displayName': 'Angle', 'value': 213}, 'value': '3.01'}, {'type': {'displayName': 'PassEndX', 'value': 140}, 'value': '34.9'}, {'type': {'displayName': 'PassEndY', 'value': 141}, 'value': '53.0'}, {'type': {'displayName': 'Length', 'value': 212}, 'value': '16.0'}]",True,,,,,
1834308,FirstHalf,0,3.0,0,Pass,Successful,7614,RBL,415172.0,Castello Lukeba,37.3,52.1,70.8,24.3,,,,,"[{'type': {'displayName': 'Zone', 'value': 56}, 'value': 'Center'}, {'type': {'displayName': 'PassEndX', 'value': 140}, 'value': '70.8'}, {'type': {'displayName': 'Longball', 'value': 1}}, {'type': {'displayName': 'StandingSave', 'value': 178}}, {'type': {'displayName': 'Chipped', 'value': 155}}, {'type': {'displayName': 'PassEndY', 'value': 141}, 'value': '24.3'}, {'type': {'displayName': 'Length', 'value': 212}, 'value': '39.9'}, {'type': {'displayName': 'Angle', 'value': 213}, 'value': '5.79'}]",True,,,,,
1834308,FirstHalf,0,6.0,0,BallTouch,Unsuccessful,7614,RBL,416030.0,Antonio Nusa,70.8,24.3,,,,,,,"[{'type': {'displayName': 'Head', 'value': 15}}, {'type': {'displayName': 'Zone', 'value': 56}, 'value': 'Center'}]",True,,,,,
1834308,FirstHalf,0,8.0,0,Pass,Successful,1730,Augsburg,296838.0,Dimitrios Giannoulis,12.7,83.5,37.7,93.2,,,,,"[{'type': {'displayName': 'PassEndX', 'value': 140}, 'value': '37.7'}, {'type': {'displayName': 'Longball', 'value': 1}}, {'type': {'displayName': 'Zone', 'value': 56}, 'value': 'Back'}, {'type': {'displayName': 'StandingSave', 'value': 178}}, {'type': {'displayName': 'Angle', 'value': 213}, 'value': '0.25'}, {'type': {'displayName': 'PassEndY', 'value': 141}, 'value': '93.2'}, {'type': {'displayName': 'Length', 'value': 212}, 'value': '27.1'}]",True,,,,,
1834308,FirstHalf,0,10.0,0,BallRecovery,Successful,1730,Augsburg,381550.0,Rubén Vargas,34.4,95.1,,,,,,,[],False,,,,,
1834308,FirstHalf,0,13.0,0,Pass,Successful,1730,Augsburg,381550.0,Rubén Vargas,34.4,95.1,14.9,95.7,,,,,"[{'type': {'displayName': 'PassEndY', 'value': 141}, 'value': '95.7'}, {'type': {'displayName': 'PassEndX', 'value': 140}, 'value': '14.9'}, {'type': {'displayName': 'StandingSave', 'value': 178}}, {'type': {'displayName': 'Angle', 'value': 213}, 'value': '3.12'}, {'type': {'displayName': 'Length', 'value': 212}, 'value': '20.5'}, {'type': {'displayName': 'Zone', 'value': 56}, 'value': 'Back'}]",True,,,,,
1834308,FirstHalf,0,14.0,0,Pass,Successful,1730,Augsburg,296838.0,Dimitrios Giannoulis,14.9,95.7,38.3,84.1,,,,,"[{'type': {'displayName': 'PassEndX', 'value': 140}, 'value': '38.3'}, {'type': {'displayName': 'PassEndY', 'value': 141}, 'value': '84.1'}, {'type': {'displayName': 'Length', 'value': 212}, 'value': '25.8'}, {'type': {'displayName': 'Longball', 'value': 1}}, {'type': {'displayName': 'Angle', 'value': 213}, 'value': '5.97'}, {'type': {'displayName': 'StandingSave', 'value': 178}}, {'type': {'displayName': 'Zone', 'value': 56}, 'value': 'Back'}]",True,,,,,
1834308,FirstHalf,0,16.0,0,Pass,Successful,1730,Augsburg,298145.0,Phillip Tietz,43.9,84.6,36.3,74.0,,,,,"[{'type': {'displayName': 'Zone', 'value': 56}, 'value': 'Back'}, {'type': {'displayName': 'PassEndX', 'value': 140}, 'value': '36.3'}, {'type': {'displayName': 'LayOff', 'value': 156}}, {'type': {'displayName': 'Angle', 'value': 213}, 'value': '3.88'}, {'type': {'displayName': 'Length', 'value': 212}, 'value': '10.8'}, {'type': {'displayName': 'PassEndY', 'value': 141}, 'value': '74.0'}]",True,,,,,
