player,team,touches,touch_map_saved,error
Aaron Hickey,Brentford,449,True,
Aaron Ramsdale,Newcastle,507,True,
Aaron Wan-Bissaka,West Ham,1359,True,
Abdukodir Khusanov,Man City,1304,True,
Adam Armstrong,Wolves,282,True,
Adam Smith,Bournemouth,573,True,
Adam Wharton,Crystal Palace,1703,True,
Adama Traoré,Fulham,148,True,
Adama Traoré,West Ham,72,True,
Adrien Truffert,Bournemouth,2605,True,
Alejandro Garnacho,Chelsea,756,True,
Alex Iwobi,Fulham,1820,True,
Alex Murphy,Newcastle,13,True,
Alex Scott,Bournemouth,2017,True,
Alex Tóth,Bournemouth,97,True,
Alexander Isak,Liverpool,180,True,
Alexis Mac Allister,Liverpool,1865,True,
Alisson Becker,Liverpool,1064,True,
Alphonse Areola,West Ham,762,True,
Altay Bayindir,Man Utd,225,True,
Alysson,Aston Villa,30,True,
Amad Diallo,Man Utd,1421,True,
Amadou Onana,Aston Villa,1151,True,
Amine Adli,Bournemouth,677,True,
Andrey Santos,Chelsea,989,True,
André,Wolves,1772,True,
Andrés García,Aston Villa,64,True,
Andy Irving,West Ham,129,True,
Andy Robertson,Liverpool,962,True,
Angel Gomes,Wolves,266,True,
Angus Gunn,Nottingham Forest,21,True,
Anthony Elanga,Newcastle,737,True,
Anthony Gordon,Newcastle,953,True,
Antoine Semenyo,Bournemouth,988,True,
Antoine Semenyo,Man City,721,True,
Anton Stach,Leeds,1529,True,
Antonee Robinson,Fulham,1293,True,
Antoni Milambo,Brentford,19,True,
Antonín Kinsky,Tottenham,261,True,
Ao Tanaka,Leeds,907,True,
Archie Gray,Tottenham,766,True,
Armando Broja,Burnley,326,True,
Arnaud Kalimuendo,Nottingham Forest,46,True,
Arthur Masuaku,Sunderland,88,True,
Ashley Barnes,Burnley,27,True,
Axel Disasi,West Ham,711,True,
Axel Tuanzebe,Burnley,724,True,
Ayden Heaven,Man Utd,631,True,
Bafodé Diakité,Bournemouth,922,True,
Bart Verbruggen,Brighton,1869,True,
Bashir Humphreys,Burnley,1162,True,
Ben Davies,Tottenham,105,True,
Ben Gannon-Doak,Bournemouth,83,True,
Ben White,Arsenal,546,True,
Benjamin Sesko,Man Utd,556,True,
Benoît Badiashile,Chelsea,499,True,
Bernardo Silva,Man City,2667,True,
Bernd Leno,Fulham,1776,True,
Bertrand Traoré,Sunderland,320,True,
Beto,Everton,564,True,
Borna Sosa,Crystal Palace,73,True,
Boubacar Kamara,Aston Villa,1053,True,
Bradley Burrowes,Aston Villa,13,True,
Brajan Gruda,Brighton,448,True,
Brenden Aaronson,Leeds,1287,True,
Brennan Johnson,Crystal Palace,451,True,
Brennan Johnson,Tottenham,253,True,
Brian Brobbey,Sunderland,543,True,
Bruno Fernandes,Man Utd,2652,True,
Bruno Guimarães,Newcastle,2041,True,
Bryan Mbeumo,Man Utd,1331,True,
Bukayo Saka,Arsenal,1399,True,
Callum Hudson-Odoi,Nottingham Forest,1013,True,
Callum Marshall,West Ham,17,True,
Callum Wilson,West Ham,382,True,
Calvin Bassey,Fulham,2137,True,
Caoimhín Kelleher,Brentford,1675,True,
Carlos Baleba,Brighton,1047,True,
Casemiro,Man Utd,2128,True,
Chadi Riad,Crystal Palace,460,True,
Charalampos Kostoulas,Brighton,268,True,
Charly Alcaraz,Everton,454,True,
Chemsdine Talbi,Sunderland,638,True,
Chris Richards,Crystal Palace,2081,True,
Chris Rigg,Sunderland,325,True,
Chris Wood,Nottingham Forest,242,True,
Christantus Uche,Crystal Palace,114,True,
Christian Nørgaard,Arsenal,90,True,
Cody Gakpo,Liverpool,1330,True,
Cole Palmer,Chelsea,1233,True,
Conor Bradley,Liverpool,812,True,
Conor Gallagher,Tottenham,754,True,
Cristhian Mosquera,Arsenal,819,True,
Cristian Romero,Tottenham,1446,True,
Crysencio Summerville,West Ham,1241,True,
Curtis Jones,Liverpool,2019,True,
Daichi Kamada,Crystal Palace,1158,True,
Dan Ballard,Sunderland,1493,True,
Dan Bentley,Wolves,122,True,
Dan Burn,Newcastle,1505,True,
Dan Ndoye,Nottingham Forest,559,True,
Dan Neil,Sunderland,14,True,
Dango Ouattara,Brentford,1093,True,
Daniel James,Leeds,259,True,
Daniel Muñoz,Crystal Palace,1415,True,
Danny Welbeck,Brighton,784,True,
David Brooks,Bournemouth,737,True,
David Møller Wolfe,Wolves,465,True,
David Raya,Arsenal,1438,True,
Dean Henderson,Crystal Palace,1458,True,
Declan Rice,Arsenal,2772,True,
Dennis Cirkin,Sunderland,177,True,
Destiny Udogie,Tottenham,901,True,
Diego Coppola,Brighton,142,True,
Diego Gómez,Brighton,1210,True,
Dilane Bakwa,Nottingham Forest,335,True,
Diogo Dalot,Man Utd,1787,True,
Divine Mukasa,Man City,23,True,
Djed Spence,Tottenham,1494,True,
Djordje Petrovic,Bournemouth,1318,True,
Dominic Calvert-Lewin,Leeds,894,True,
Dominic Solanke,Tottenham,342,True,
Dominik Szoboszlai,Liverpool,3001,True,
Donyell Malen,Aston Villa,210,True,
Douglas Luiz,Aston Villa,559,True,
Douglas Luiz,Nottingham Forest,292,True,
Dwight McNeil,Everton,556,True,
Dário Essugo,Chelsea,39,True,
Eberechi Eze,Arsenal,934,True,
Eberechi Eze,Crystal Palace,43,True,
Eddie Nketiah,Crystal Palace,216,True,
El Hadji Malick Diouf,West Ham,1820,True,
Eliezer Mayenda,Sunderland,230,True,
Elliot Anderson,Nottingham Forest,3308,True,
Emil Krafth,Newcastle,33,True,
Emile Smith Rowe,Fulham,1224,True,
Emiliano Buendía,Aston Villa,1054,True,
Emiliano Martínez,Aston Villa,1539,True,
Emmanuel Agbadou,Wolves,872,True,
Enes Ünal,Bournemouth,135,True,
Enzo Fernández,Chelsea,2615,True,
Enzo Le Fée,Sunderland,1754,True,
Erling Haaland,Man City,782,True,
Estêvão,Chelsea,495,True,
Ethan Ampadu,Leeds,2372,True,
Ethan Nwaneri,Arsenal,121,True,
Ethan Pinnock,Brentford,196,True,
Evanilson,Bournemouth,850,True,
Evann Guessand,Aston Villa,234,True,
Evann Guessand,Crystal Palace,179,True,
Ezra Mayers,West Ham,101,True,
Ezri Konsa,Aston Villa,2442,True,
Fabian Schär,Newcastle,976,True,
Facundo Buonanotte,Chelsea,30,True,
Facundo Buonanotte,Leeds,27,True,
Federico Chiesa,Liverpool,226,True,
Fer López,Wolves,157,True,
Ferdi Kadioglu,Brighton,2068,True,
Filip Jörgensen,Chelsea,212,True,
Florentino,Burnley,1431,True,
Florian Wirtz,Liverpool,1880,True,
Frank Onyeka,Brentford,55,True,
Freddie Potts,West Ham,727,True,
Freddie Woodman,Liverpool,106,True,
Fábio Carvalho,Brentford,45,True,
Gabriel Gudmundsson,Leeds,1741,True,
Gabriel Jesus,Arsenal,217,True,
Gabriel Magalhães,Arsenal,2158,True,
Gabriel Martinelli,Arsenal,527,True,
George Hemmings,Aston Villa,20,True,
Georginio Rutter,Brighton,938,True,
Gianluigi Donnarumma,Man City,1160,True,
Giorgi Mamardashvili,Liverpool,397,True,
Granit Xhaka,Sunderland,2297,True,
Guglielmo Vicario,Tottenham,1365,True,
Guido Rodríguez,West Ham,100,True,
Habib Diarra,Sunderland,652,True,
Hannibal Mejbri,Burnley,822,True,
Harrison Armstrong,Everton,294,True,
Harrison Reed,Fulham,54,True,
Harry Howell,Brighton,56,True,
Harry Maguire,Man Utd,1068,True,
Harry Wilson,Fulham,1271,True,
Harvey Barnes,Newcastle,951,True,
Harvey Elliott,Aston Villa,96,True,
Hjalmar Ekdal,Burnley,926,True,
Hugo Bueno,Wolves,1701,True,
Hugo Ekitiké,Liverpool,749,True,
Hwang Hee-Chan,Wolves,612,True,
