player,team,touches,touch_map_saved,error
Aarón Escandell,Real Oviedo,1616,True,
Abde Ezzalzouli,Real Betis,1429,True,
Abde Rebbach,Deportivo Alaves,947,True,
Abdel Abqar,Getafe,716,True,
Abdul Mumin,Rayo Vallecano,47,True,
Abdón Prats,Mallorca,47,True,
Abel Bretones,Osasuna,946,True,
Abel Ruiz,Girona,64,True,
Abu Kamara,Getafe,139,True,
Adam Boayar,Elche,73,True,
Adama Boiro,Athletic Club,549,True,
Ademola Lookman,Atletico,291,True,
Adnan Januzaj,Sevilla,242,True,
Adrià Alti,Villarreal,10,True,
Adrià Pedrosa,Elche,747,True,
Adrià Pedrosa,Sevilla,14,True,
Adrián,Real Betis,47,True,
Adrián Liso,Getafe,675,True,
Adrián de la Fuente,Levante,2002,True,
Aihen Muñoz,Real Sociedad,533,True,
Aimar Oroz,Osasuna,1299,True,
Aitor Fernández,Osasuna,71,True,
Aitor Mañas,Deportivo Alaves,55,True,
Aitor Paredes,Athletic Club,1143,True,
Aitor Ruibal,Real Betis,1149,True,
Akor Adams,Sevilla,664,True,
Alan Matturro,Levante,645,True,
Alassane Diatta,Villarreal,30,True,
Alberto Moleiro,Villarreal,1211,True,
Alberto Reina,Real Oviedo,1418,True,
Aleix Febas,Elche,2577,True,
Alejandro Balde,Barcelona,1621,True,
Alejandro Catena,Osasuna,2131,True,
Alejandro Francés,Girona,984,True,
Alejandro Mestanza,Getafe,43,True,
Alejandro Rego,Athletic Club,739,True,
Aleksa Puric,Atletico,21,True,
Alemão,Rayo Vallecano,381,True,
Alex Berenguer,Athletic Club,1382,True,
Alex Freeman,Villarreal,342,True,
Alexander Sørloth,Atletico,737,True,
Alexis Sánchez,Sevilla,696,True,
Alfon González,Sevilla,155,True,
Alfon González,Villarreal,121,True,
Alfonso Pedraza,Villarreal,1075,True,
Ali Houary,Elche,81,True,
Allan Nyom,Getafe,317,True,
Ander Barrenetxea,Real Sociedad,1258,True,
Ander Guevara,Deportivo Alaves,581,True,
Andoni Gorosabel,Athletic Club,984,True,
Andreas Christensen,Barcelona,409,True,
Andrei Ratiu,Rayo Vallecano,2299,True,
Andrii Lunin,Real Madrid,265,True,
André Almeida,Valencia,811,True,
André Silva,Elche,832,True,
Andrés Antañón,Celta Vigo,27,True,
Andrés Castrín,Sevilla,978,True,
Ante Budimir,Osasuna,869,True,
Antoine Griezmann,Atletico,1056,True,
Antonio Blanco,Deportivo Alaves,2391,True,
Antonio Raíllo,Mallorca,1419,True,
Antonio Rüdiger,Real Madrid,1300,True,
Antonio Sivera,Deportivo Alaves,1363,True,
Antonio Sánchez,Mallorca,590,True,
Antoniu Roca,Espanyol,130,True,
Antony,Real Betis,1708,True,
Arda Güler,Real Madrid,1801,True,
Aritz Elustondo,Real Sociedad,551,True,
Arnau Martínez,Girona,2088,True,
Arnau Tenas,Villarreal,394,True,
Arnaut Danjuma,Valencia,689,True,
Arsen Zakharyan,Real Sociedad,335,True,
Asier Hierro,Athletic Club,14,True,
Asier Osambela,Osasuna,233,True,
Augusto Batalla,Rayo Vallecano,1554,True,
Aurélien Tchouaméni,Real Madrid,2292,True,
Axel Witsel,Girona,1817,True,
Aymeric Laporte,Athletic Club,1525,True,
Ayoze Pérez,Villarreal,496,True,
Azzedine Ounahi,Girona,1450,True,
Bambo Diaby,Elche,76,True,
Baptiste Santamaría,Valencia,544,True,
Batista Mendy,Sevilla,910,True,
Beñat Prados,Athletic Club,65,True,
Beñat Turrientes,Real Sociedad,943,True,
Borja Iglesias,Celta Vigo,737,True,
Borja Mayoral,Getafe,389,True,
Borja Sánchez,Real Oviedo,14,True,
Brahim Díaz,Real Madrid,795,True,
Brais Méndez,Real Sociedad,1267,True,
Bryan Gil,Girona,965,True,
Bryan Zaragoza,Celta Vigo,617,True,
Buba Sangaré,Elche,407,True,
Calebe,Deportivo Alaves,504,True,
Carl Starfelt,Celta Vigo,1221,True,
Carles Aleñá,Deportivo Alaves,1295,True,
Carlos Domínguez,Celta Vigo,538,True,
Carlos Espí,Levante,487,True,
Carlos Maciá,Villarreal,57,True,
Carlos Martín,Rayo Vallecano,197,True,
Carlos Protesoni,Deportivo Alaves,195,True,
Carlos Romero,Espanyol,1946,True,
Carlos Soler,Real Sociedad,1539,True,
Carlos Vicente,Deportivo Alaves,858,True,
Carlos Álvarez,Levante,1051,True,
Charles Pickel,Espanyol,352,True,
Chidera Ejuke,Sevilla,662,True,
Chimy Ávila,Real Betis,183,True,
Christantus Uche,Getafe,123,True,
Claudio Echeverri,Girona,373,True,
Clemens Riedel,Espanyol,1025,True,
Clément Lenglet,Atletico,1097,True,
Coba da Costa,Getafe,251,True,
Conor Gallagher,Atletico,510,True,
Copete,Valencia,1274,True,
Cristhian Stuani,Girona,127,True,
Cubo,Atletico,18,True,
Cucho Hernández,Real Betis,1172,True,
Cyril Ngonge,Espanyol,244,True,
Cédric Bakambu,Real Betis,178,True,
César Azpilicueta,Sevilla,944,True,
César Palacios,Real Madrid,78,True,
César Tárrega,Valencia,1735,True,
Daley Blind,Girona,2517,True,
Damián Cáceres,Getafe,77,True,
Damián Rodríguez,Celta Vigo,128,True,
Dani Calvo,Real Oviedo,1051,True,
Dani Carvajal,Real Madrid,714,True,
Dani Ceballos,Real Madrid,544,True,
Dani Cárdenas,Rayo Vallecano,174,True,
Dani Martinez,Atletico,95,True,
Dani Olmo,Barcelona,1630,True,
Dani Parejo,Villarreal,1127,True,
Dani Raba,Valencia,209,True,
Dani Rodríguez,Mallorca,45,True,
Dani Vivian,Athletic Club,1765,True,
Daniel Yáñez,Real Madrid,31,True,
David Affengruber,Elche,2600,True,
David Alaba,Real Madrid,434,True,
David Carmo,Real Oviedo,1313,True,
David Costas,Real Oviedo,1285,True,
David Jiménez,Real Madrid,47,True,
David López,Girona,257,True,
David López,Mallorca,610,True,
David Soria,Getafe,1382,True,
Davinchi,Getafe,456,True,
Dawda Camara,Girona,23,True,
Dean Huijsen,Real Madrid,1954,True,
Denis Suárez,Deportivo Alaves,1075,True,
Diego Aguado,Real Madrid,25,True,
Diego Llorente,Real Betis,959,True,
Diego López,Valencia,837,True,
Diego Pampín,Levante,400,True,
Diego Rico,Getafe,1177,True,
Dimitri Foulquier,Valencia,806,True,
Djené Dakonam,Getafe,1178,True,
Djibril Sow,Sevilla,1227,True,
Dodi Lukébakio,Sevilla,110,True,
Domingos Duarte,Getafe,1302,True,
Donny van de Beek,Girona,20,True,
Dro Fernández,Barcelona,61,True,
Duje Caleta-Car,Real Sociedad,1640,True,
Dávid Hancko,Atletico,1857,True,
Eder García,Athletic Club,30,True,
Edu Expósito,Espanyol,1671,True,
Eduardo Camavinga,Real Madrid,1378,True,
Enzo Boyomo,Osasuna,1690,True,
Eray Cömert,Valencia,999,True,
Eric Bailly,Real Oviedo,758,True,
Eric García,Barcelona,2825,True,
Facundo Garcés,Deportivo Alaves,480,True,
Federico Redondo,Elche,176,True,
Federico Valverde,Real Madrid,2324,True,
Federico Viñas,Real Oviedo,1061,True,
Fer López,Celta Vigo,802,True,
Ferland Mendy,Real Madrid,182,True,
Fermín López,Barcelona,1303,True,
Fernando Calero,Espanyol,1536,True,
Ferran Jutglà,Celta Vigo,750,True,
Ferran Torres,Barcelona,740,True,
Filip Ugrinic,Valencia,958,True,
Florian Lejeune,Rayo Vallecano,2669,True,
Fran Beltrán,Celta Vigo,383,True,
Fran Beltrán,Girona,894,True,
Fran García,Real Madrid,675,True,
Fran Pérez,Rayo Vallecano,557,True,
Franco Mastantuono,Real Madrid,791,True,
Frenkie de Jong,Barcelona,1697,True,
Fábio Cardoso,Sevilla,179,True,
Gabriel Suazo,Sevilla,1637,True,
Gavi,Barcelona,491,True,
Georges Mikautadze,Villarreal,782,True,
Gerard Gumbau,Rayo Vallecano,697,True,
Gerard Martín,Barcelona,2294,True,
Gerard Moreno,Villarreal,796,True,
Germán Valera,Elche,1887,True,
Giacomo Raspadori,Atletico,138,True,
Giovani Lo Celso,Real Betis,1158,True,
Giuliano Simeone,Atletico,1424,True,
Goduine Koyalipou,Levante,116,True,
Gonzalo García,Real Madrid,378,True,
Gonzalo Villar,Elche,518,True,
Gonçalo Guedes,Real Sociedad,946,True,
Gorka Carrera,Real Sociedad,22,True,
Gorka Guruzeta,Athletic Club,921,True,
Grady Diangana,Elche,512,True,
Guido Rodríguez,Valencia,950,True,
Haissem Hassan,Real Oviedo,1027,True,
Horatiu Moldovan,Real Oviedo,92,True,
Hugo Duro,Valencia,666,True,
Hugo López,Villarreal,12,True,
Hugo Rincón,Girona,1233,True,
Hugo Sotelo,Celta Vigo,1179,True,
Hugo Álvarez,Celta Vigo,876,True,
Héctor Bellerín,Real Betis,1447,True,
Héctor Fort,Elche,289,True,
Iago Aspas,Celta Vigo,841,True,
Ibrahim Diabate,Deportivo Alaves,161,True,
Igor Zubeldia,Real Sociedad,1455,True,
Iker Benito,Osasuna,124,True,
Iker Losada,Levante,379,True,
Iker Luque,Atletico,14,True,
Iker Muñoz,Osasuna,593,True,
Ilaix Moriba,Celta Vigo,1471,True,
Ilias Akhomach,Rayo Vallecano,408,True,
Ilias Akhomach,Villarreal,133,True,
Ilyas Chaira,Real Oviedo,1289,True,
Ionut Radu,Celta Vigo,1360,True,
Isaac Romero,Sevilla,676,True,
Isco,Real Betis,218,True,
Isi Palazón,Rayo Vallecano,1407,True,
Ismael Bekhoucha,Getafe,56,True,
Iván Balliu,Rayo Vallecano,405,True,
Iván Corralejo,Real Betis,10,True,
Iván Martín,Girona,1814,True,
Iván Romero,Levante,1117,True,
Iñaki Peña,Elche,1052,True,
Iñaki Williams,Athletic Club,914,True,
Iñigo Arguibide,Osasuna,90,True,
Jairo Izquierdo,Elche,18,True,
Jan Oblak,Atletico,1155,True,
Jan Salas,Mallorca,16,True,
Jan Virgili,Mallorca,854,True,
Jano Monserrate,Atletico,26,True,
Javi Galán,Atletico,99,True,
Javi Galán,Osasuna,1467,True,
Javi Guerra,Valencia,1402,True,
Javi Llabrés,Mallorca,110,True,
Javi López,Real Oviedo,1311,True,
Javi Muñoz,Getafe,285,True,
Javi Puado,Espanyol,313,True,
Javi Rodríguez,Celta Vigo,2228,True,
Javi Rueda,Celta Vigo,920,True,
Javier Boñar,Atletico,208,True,
Javier Morcillo,Atletico,88,True,
Javier Olaizola,Mallorca,62,True,
Jeremy Toljan,Levante,1847,True,
Jesús Areso,Athletic Club,1067,True,
Jesús Vázquez,Valencia,670,True,
Jhon Solís,Girona,226,True,
Joan García,Barcelona,1199,True,
Joan Jordán,Sevilla,38,True,
Job Ochieng,Real Sociedad,51,True,
Joel Roca,Girona,815,True,
Jofre Carreras,Espanyol,441,True,
Jofre Torrents,Barcelona,54,True,
Johan Mojica,Mallorca,2056,True,
John Donald,Elche,440,True,
Johnny Cardoso,Atletico,682,True,
Jon Ander Olasagasti,Levante,1043,True,
Jon Aramburu,Real Sociedad,2115,True,
Jon Gorrotxategi,Real Sociedad,1642,True,
Jon Guridi,Deportivo Alaves,648,True,
Jon Karrikaburu,Real Sociedad,47,True,
Jon Martín,Real Sociedad,1715,True,
Jon Moncayola,Osasuna,1963,True,
Jon Pacheco,Deportivo Alaves,1187,True,
Jones El Abdellaoui,Celta Vigo,308,True,
Jonny Otto,Deportivo Alaves,2485,True,
Jorge Cabello,Levante,173,True,
Jorge Herrando,Osasuna,943,True,
Jorge Montes,Getafe,20,True,
Jorge de Frutos,Rayo Vallecano,856,True,
Josan,Elche,411,True,
Joselu Pérez,Getafe,13,True,
Joseph Aidoo,Celta Vigo,473,True,
Josip Brekalo,Real Oviedo,316,True,
José Gayà,Valencia,1522,True,
José Luis Morales,Levante,222,True,
José María Giménez,Atletico,985,True,
José Salinas,Espanyol,177,True,
José Ángel Carmona,Sevilla,1894,True,
Jozhua Vertrouwd,Rayo Vallecano,270,True,
João Cancelo,Barcelona,808,True,
Juan Cruz,Osasuna,329,True,
Juan Foyth,Villarreal,692,True,
Juan Iglesias,Getafe,1987,True,
Juan Musso,Atletico,315,True,
Juanlu Sánchez,Sevilla,1263,True,
Juanmi,Getafe,61,True,
Jude Bellingham,Real Madrid,1629,True,
Julen Agirrezabala,Valencia,675,True,
Jules Koundé,Barcelona,2484,True,
Julio Díaz,Atletico,217,True,
Julián Alvarez,Atletico,1080,True,
Junior Firpo,Real Betis,615,True,
Justin Kalumba,Mallorca,51,True,
Kareem Tunde,Levante,456,True,
Karl Etta Eyong,Levante,569,True,
Karl Etta Eyong,Villarreal,68,True,
Kervin Arriaga,Levante,1004,True,
Kike Barja,Osasuna,290,True,
Kike García,Espanyol,740,True,
Kike Salas,Sevilla,1828,True,
Kiko Femenía,Getafe,1052,True,
Koke,Atletico,2205,True,
Kwasi Sibo,Real Oviedo,872,True,
Kylian Mbappé,Real Madrid,1555,True,
Ladislav Krejcí,Girona,119,True,
Lamine Yamal,Barcelona,2158,True,
Lancinet Kourouma,Girona,19,True,
Largie Ramazani,Valencia,636,True,
Leander Dendoncker,Real Oviedo,744,True,
Leandro Cabrera,Espanyol,1984,True,
Leo Román,Mallorca,1412,True,
Logan Costa,Villarreal,28,True,
Luca Koleosho,Espanyol,54,True,
Lucas Ahijado,Real Oviedo,753,True,
Lucas Beltrán,Valencia,708,True,
Lucas Bergström,Mallorca,205,True,
Lucas Boyé,Deportivo Alaves,972,True,
Lucas Cepeda,Elche,258,True,
Lucas Torró,Osasuna,1292,True,
Lucien Agoumé,Sevilla,1699,True,
Luis Milla,Getafe,2048,True,
Luis Orejuela,Mallorca,69,True,
Luis Rioja,Valencia,1389,True,
Luis Vázquez,Getafe,415,True,
Luiz Felipe,Rayo Vallecano,323,True,
Luiz Júnior,Villarreal,941,True,
Luka Ilic,Real Oviedo,351,True,
Luka Sucic,Real Sociedad,640,True,
Luken Beitia,Real Sociedad,54,True,
Léo Pétrot,Elche,1274,True,
Manor Solomon,Villarreal,94,True,
Manu Bueno,Sevilla,148,True,
Manu Fernández,Celta Vigo,603,True,
Manu Morlanes,Mallorca,1193,True,
Manu Sánchez,Levante,1635,True,
Manuel Ángel,Real Madrid,88,True,
Marash Kumbulla,Mallorca,344,True,
Marc Aguado,Elche,1616,True,
Marc Bartra,Real Betis,1547,True,
Marc Bernal,Barcelona,734,True,
Marc Casadó,Barcelona,1046,True,
Marc Domenech,Mallorca,80,True,
Marc Pubill,Atletico,1175,True,
Marc Roca,Real Betis,1370,True,
Marc ter Stegen,Girona,85,True,
Marco Esteban,Real Oviedo,18,True,
Marcos Alonso,Celta Vigo,2847,True,
Marcos Llorente,Atletico,1893,True,
Marcus Rashford,Barcelona,1271,True,
Marcão,Sevilla,611,True,
Mariano Díaz,Deportivo Alaves,89,True,
Mario Martín,Getafe,1011,True,
Marko Dmitrovic,Espanyol,1377,True,
Maroan Sannadi,Athletic Club,125,True,
Martim Neto,Elche,842,True,
Martin Valjent,Mallorca,2279,True,
Martín Satriano,Getafe,753,True,
Mateo Joseph,Mallorca,656,True,
Mateu Morey,Mallorca,419,True,
Mathew Ryan,Levante,1559,True,
Matteo Ruggeri,Atletico,1361,True,
Matías Dituro,Elche,1400,True,
Matías Moreno,Levante,1439,True,
Matías Vecino,Celta Vigo,115,True,
Mauro Arambarri,Getafe,1417,True,
Miguel Calatayud,Mallorca,40,True,
Miguel Román,Celta Vigo,922,True,
Miguel Rubio,Espanyol,125,True,
Miguel Sierra,Sevilla,49,True,
Mihailo Ristic,Celta Vigo,196,True,
Mikel Goti,Real Sociedad,53,True,
Mikel Jauregizar,Athletic Club,1851,True,
Mikel Oyarzabal,Real Sociedad,1282,True,
Mikel Vesga,Athletic Club,385,True,
Moi Gómez,Osasuna,1074,True,
Mouctar Diakhaby,Valencia,418,True,
Mourad El Ghezouani,Elche,24,True,
Moussa Diarra,Deportivo Alaves,130,True,
Nacho Pérez,Levante,72,True,
Nacho Vidal,Real Oviedo,1493,True,
Nahuel Molina,Atletico,1081,True,
Nahuel Tenaglia,Deportivo Alaves,1981,True,
Natan,Real Betis,1849,True,
Neal Maupay,Sevilla,321,True,
Nelson Deossa,Real Betis,520,True,
Nemanja Gudelj,Sevilla,1456,True,
Nico González,Atletico,890,True,
Nico Serrano,Athletic Club,263,True,
Nico Williams,Athletic Club,1118,True,
Nicolas Pepe,Villarreal,1485,True,
Nicolás Fonseca,Real Oviedo,734,True,
Nobel Mendy,Rayo Vallecano,1290,True,
Obed Vargas,Atletico,452,True,
Odysseas Vlachodimos,Sevilla,1277,True,
Oier Luengo,Real Oviedo,115,True,
Oihan Sancet,Athletic Club,907,True,
Omar El Hilali,Espanyol,1950,True,
Omar Falah,Real Oviedo,14,True,
Omar Mascarell,Mallorca,1396,True,
Oriol Rey,Levante,734,True,
Orri Óskarsson,Real Sociedad,225,True,
Oso,Sevilla,810,True,
Ovie Ejaria,Real Oviedo,150,True,
Pablo Agudín,Real Oviedo,49,True,
Pablo Barrios,Atletico,1398,True,
Pablo Campos,Levante,90,True,
Pablo Durán,Celta Vigo,580,True,
Pablo Fornals,Real Betis,2350,True,
Pablo García,Real Betis,210,True,
Pablo Ibáñez,Deportivo Alaves,1584,True,
Pablo Maffeo,Mallorca,1688,True,
Pablo Martínez,Levante,1024,True,
Pablo Marín,Real Sociedad,653,True,
Pablo Torre,Mallorca,1166,True,
Pacha Espino,Rayo Vallecano,1060,True,
Paco Cortés,Levante,217,True,
Pape Gueye,Villarreal,1501,True,
Pathé Ciss,Rayo Vallecano,1507,True,
Pau Cubarsí,Barcelona,3085,True,
Pau López,Real Betis,329,True,
Pau Navarro,Villarreal,1335,True,
Paulo Gazzaniga,Girona,1497,True,
Pedri,Barcelona,2469,True,
Pedro Bigas,Elche,1914,True,
Pedro Díaz,Rayo Vallecano,1094,True,
Pelayo Fernández,Rayo Vallecano,41,True,
Pep Chavarría,Rayo Vallecano,2092,True,
Pepelu,Valencia,1718,True,
Peque Fernández,Sevilla,596,True,
Pere Milla,Espanyol,929,True,
Pol Lozano,Espanyol,1237,True,
Portu,Girona,149,True,
Rafa Marín,Villarreal,1371,True,
Rafa Mir,Elche,693,True,
Rahim Alhassane,Real Oviedo,1239,True,
Ramón Martínez,Sevilla,72,True,
