player,team,touches,touch_map_saved,error
Aaron Anselmino,Strasbourg,16,True,
Abakar Sylla,Nantes,58,True,
Abdallah Sima,Lens,408,True,
Abdelhamid Aït Boudlal,Rennes,1072,True,
Abdoul Ouattara,Strasbourg,1188,True,
Abdoulaye Bamba,Angers,122,True,
Abdoulaye Faye,Lorient,1107,True,
Abdoulaye Touré,Le Havre,441,True,
Abner Vinícius,Lyon,1399,True,
Aboubakar Nagida,Rennes,773,True,
Abu Francis,Toulouse,314,True,
Achraf Hakimi,PSG,1601,True,
Adam Karabec,Lyon,470,True,
Adama Camara,Paris FC,1277,True,
Adil Hamdani,Lyon,27,True,
Adrien Rabiot,Marseille,59,True,
Adrien Thomasson,Lens,2002,True,
Afonso Moreira,Lyon,1074,True,
Ainsley Maitland-Niles,Lyon,1693,True,
Aiyegun Tosin,Lorient,342,True,
Aladji Bamba,Monaco,682,True,
Aleksandr Golovin,Monaco,1058,True,
Alexis Vossah,Toulouse,512,True,
Alexsandro Ribeiro,Lille,547,True,
Ali Abdi,Nice,781,True,
Ali Youssif,Nantes,560,True,
Alidu Seidu,Rennes,1042,True,
Alimami Gory,Paris FC,395,True,
Allan Saint-Maximin,Lens,294,True,
Alpha Touré,Metz,1018,True,
Amadou Cissé,Strasbourg,84,True,
Amadou Haidara,Lens,144,True,
Amady Camara,Nantes,109,True,
Amine Gouiri,Marseille,658,True,
Amine Sbaï,Angers,996,True,
Amir Murillo,Marseille,732,True,
Andrew Omobamidele,Strasbourg,1338,True,
Andrija Bulatovic,Lens,566,True,
André Gomes,Lille,11,True,
Andy Diouf,Lens,58,True,
Ange Lago,Marseille,31,True,
Angel Gomes,Marseille,681,True,
Ansu Fati,Monaco,625,True,
Anthony Bermont,Lens,121,True,
Anthony Lopes,Nantes,1287,True,
Anthony Rouault,Rennes,1477,True,
Antoine Mendy,Nice,1654,True,
Arnaud Bodart,Lille,107,True,
Arnaud Nordin,Rennes,294,True,
Aron Dønnum,Toulouse,1611,True,
Arouna Sangante,Le Havre,1853,True,
Arsène Kouassi,Lorient,1503,True,
Arthur Avom,Lorient,1670,True,
Arthur Masuaku,Lens,204,True,
Arthur Vermeeren,Marseille,694,True,
Assane Dioussé,Auxerre,194,True,
Ayumu Seko,Le Havre,1485,True,
Ayyoub Bouaddi,Lille,1525,True,
Aïssa Mandi,Lille,2224,True,
Badredine Bouanani,Nice,65,True,
Bahmed Deuff,Nantes,131,True,
Bamba Dieng,Lorient,374,True,
Bamo Meïté,Lorient,1264,True,
Believe Munongo,Metz,271,True,
Ben Chilwell,Strasbourg,1168,True,
Benjamin André,Lille,1874,True,
Benjamin Pavard,Marseille,1606,True,
Benjamin Stambouli,Metz,656,True,
Beraldo,PSG,1642,True,
Berke Özer,Lille,1313,True,
Bernard Nguene,Nice,71,True,
Bilal Nadir,Marseille,473,True,
Bingourou Kamara,Lorient,87,True,
Boubacar Traoré,Metz,848,True,
Bouna Sarr,Metz,625,True,
Brad-Hamilton Mantsounga,Nice,103,True,
Bradley Barcola,PSG,1097,True,
Bradley Locko,Brest,835,True,
Branco van den Boomen,Angers,970,True,
Breel Embolo,Rennes,710,True,
Brendan Chardonnet,Brest,1645,True,
Brian Madjo,Metz,41,True,
Brice Samba,Rennes,1471,True,
Bryan Okoh,Auxerre,605,True,
CJ Egan-Riley,Marseille,608,True,
Caio Henrique,Monaco,1184,True,
Calvin Verdonk,Lille,751,True,
Carlens Arcus,Angers,1480,True,
Chancel Mbemba,Lille,809,True,
Charles Vanhoutte,Nice,1261,True,
Charlie Cresswell,Toulouse,1787,True,
Cheikh Sabaly,Metz,418,True,
Chidozie Awaziem,Nantes,1751,True,
Christian Mawissa,Monaco,1118,True,
Christopher Wooh,Rennes,28,True,
Ciro Immobile,Paris FC,250,True,
Cleo Mélières,Metz,20,True,
Clinton Mata,Lyon,2275,True,
Clément Akpa,Auxerre,1391,True,
Corentin Tolisso,Lyon,1741,True,
Cristian Cásseres,Toulouse,1912,True,
Dan Sinaté,Angers,25,True,
Danny Namaso,Auxerre,1271,True,
Dante,Nice,564,True,
Daouda Guindo,Brest,1071,True,
Daren Mosengo,Le Havre,76,True,
Darlin Yongwa,Lorient,944,True,
Darryl Bakola,Marseille,69,True,
David Datro Fofana,Strasbourg,59,True,
Dayann Méthalie,Toulouse,1007,True,
Dehmaine Tabibou,Nantes,775,True,
Deiver Machado,Lens,174,True,
Deiver Machado,Nantes,511,True,
Denis Zakaria,Monaco,1412,True,
Derek Cornelius,Marseille,24,True,
Dermane Karim,Lorient,831,True,
Diego Coppola,Paris FC,813,True,
Diego Moreira,Strasbourg,1486,True,
Dilane Bakwa,Strasbourg,79,True,
Dimitri Lucea,PSG,72,True,
Djaoui Cissé,Rennes,742,True,
Djibril Coulibaly,Nice,13,True,
Djibril Sidibé,Toulouse,1319,True,
Dominik Greif,Lyon,1201,True,
Donovan Léon,Auxerre,1031,True,
Dro Fernández,PSG,510,True,
Désiré Doué,PSG,1269,True,
Eliesse Ben Seghir,Monaco,35,True,
Elisha Owusu,Auxerre,1183,True,
Elye Wahi,Nice,255,True,
Elías Legendre,Rennes,38,True,
Emerson,Marseille,1824,True,
Emersonn,Toulouse,546,True,
Emmanuel Biumla,Angers,228,True,
Emmanuel Emegha,Strasbourg,106,True,
Endrick,Lyon,638,True,
Enzo Koffi,Le Havre,341,True,
Erawan Garnier,Lens,13,True,
Eric Dier,Monaco,673,True,
Ernest Nuamah,Lyon,37,True,
Estéban Lepaul,Angers,45,True,
Estéban Lepaul,Rennes,763,True,
Ethan Mbappé,Lille,381,True,
Ethan Nwaneri,Marseille,214,True,
Everton Pereira,Nice,82,True,
Fabian Rieder,Rennes,60,True,
Fabien Centonze,Nantes,452,True,
Fabián Ruiz,PSG,1379,True,
Facundo Medina,Marseille,1294,True,
Felix Mambimbi,Le Havre,205,True,
Florent Hanin,Angers,557,True,
Florian Sotoca,Lens,362,True,
Florian Thauvin,Lens,1849,True,
Fode Sylla,Lens,78,True,
Fodé Ballo-Touré,Metz,554,True,
Fodé Doucouré,Le Havre,725,True,
Folarin Balogun,Monaco,719,True,
Formose Mendy,Lorient,125,True,
Francis Coquelin,Nantes,390,True,
Francisco Sierralta,Auxerre,523,True,
Frank Magri,Toulouse,425,True,
Fredrik Oppegård,Auxerre,673,True,
Frédéric Guilbert,Nantes,390,True,
Félix Correia,Lille,1280,True,
Félix Lemaréchal,Strasbourg,378,True,
Gabin Bernardeau,Nice,72,True,
Gabriel Osho,Auxerre,91,True,
Gauthier Hein,Metz,1847,True,
Gautier Lloris,Le Havre,1885,True,
Gaëtan Perrin,Lille,238,True,
Geoffrey Kondogbia,Marseille,531,True,
George Ilenikhena,Monaco,125,True,
Georges Mikautadze,Lyon,60,True,
Gerónimo Rulli,Marseille,1210,True,
Gessime Yassine,Strasbourg,339,True,
Gideon Mensah,Auxerre,1747,True,
Giorgi Abuashvili,Metz,447,True,
Giorgi Kvilitaia,Metz,212,True,
Giorgi Tsitaishvili,Metz,1304,True,
Glen Kamara,Rennes,63,True,
Godson Kyeremeh,Le Havre,158,True,
Goduine Koyalipou,Angers,231,True,
Gonçalo Ramos,PSG,573,True,
Grégoire Coudert,Brest,979,True,
Guillaume Restes,Toulouse,1118,True,
Guéla Doué,Strasbourg,1823,True,
Habib Diallo,Metz,547,True,
Hamari Traoré,Paris FC,827,True,
Hamed Traoré,Marseille,372,True,
Hamidou Makalou,Brest,260,True,
Hamza Igamane,Lille,244,True,
Hans Hateboer,Lyon,519,True,
Hans Hateboer,Rennes,12,True,
Haris Belkebla,Angers,1628,True,
Harouna Djibirin,Angers,142,True,
Herba Guirassy,Nantes,411,True,
Hervé Koffi,Angers,1192,True,
Hicham Boudaoui,Nice,995,True,
Hilan Slimani,Marseille,13,True,
Himad Abdelli,Angers,800,True,
Himad Abdelli,Marseille,116,True,
Hong Hyun-Seok,Nantes,127,True,
Hugo Magnetti,Brest,1538,True,
Hákon Haraldsson,Lille,1637,True,
Ibou Sané,Metz,229,True,
Ibrahim Mbaye,PSG,805,True,
Ibrahim Osman,Auxerre,311,True,
Ibrahim Salah,Rennes,30,True,
Ibrahima Sissoko,Nantes,481,True,
Idrissa Gueye,Metz,37,True,
Idrissa Sabaly,Strasbourg,33,True,
Ignatius Ganago,Nantes,296,True,
Igor Paixão,Marseille,1142,True,
Igor Silva,Lorient,851,True,
Ilan Kebbal,Paris FC,1889,True,
Ilane Touré,Monaco,36,True,
Illia Zabarnyi,PSG,2470,True,
Ilyas Azizi,Toulouse,23,True,
Isaak Touré,Lorient,21,True,
Isak Jansson,Nice,269,True,
Ismaël Doukouré,Strasbourg,1746,True,
Ismaël Guerti,Metz,35,True,
Ismaëlo Ganiou,Lens,1676,True,
Issa Soumaré,Le Havre,1269,True,
Jacen Russell-Rowe,Toulouse,164,True,
Jacques Ekomié,Angers,1324,True,
Jahyann Pandore,Metz,66,True,
Jaydee Canvot,Toulouse,132,True,
Jean-Philippe Gbamin,Metz,2141,True,
Jean-Philippe Krasso,Paris FC,478,True,
Jean-Victor Makengo,Lorient,872,True,
Jeffrey de Lange,Marseille,166,True,
Jessy Deminguet,Metz,1177,True,
Jim Allevinah,Angers,49,True,
Joaquín Panichelli,Strasbourg,840,True,
Joel Asoro,Metz,60,True,
Joel Mvuka,Lorient,275,True,
Johann Lepenant,Nantes,1310,True,
Jonathan Clauss,Nice,2079,True,
Jonathan Fischer,Metz,1189,True,
Jonathan Gradit,Lens,605,True,
Jonathan Ikoné,Paris FC,575,True,
Jonathan Rowe,Marseille,47,True,
Jordan Lefort,Angers,2407,True,
Jordan Teze,Monaco,1830,True,
Joris Chotard,Brest,1620,True,
Josué Casimir,Auxerre,775,True,
João Neves,PSG,1257,True,
Julien Le Cardinal,Brest,208,True,
Julien Lopez,Paris FC,21,True,
Julio Enciso,Strasbourg,1083,True,
Julián Vignolo,Toulouse,92,True,
Juma Bah,Nice,1484,True,
Junior Diaz,Brest,883,True,
Junior Dina Ebimbe,Brest,465,True,
Junior Mwanga,Nantes,724,True,
Junior Mwanga,Strasbourg,313,True,
Justin Bourgault,Brest,11,True,
Justin Kalumba,Angers,144,True,
Jérémie Boga,Nice,299,True,
Jérémy Jacquet,Rennes,1322,True,
Kamory Doumbia,Brest,1094,True,
Karl-Johan Johnsson,Strasbourg,40,True,
Kassoum Ouattara,Monaco,752,True,
Kaïl Boudache,Nice,254,True,
Kelvin Amian,Nantes,1252,True,
Kendry Páez,Strasbourg,267,True,
Kenny Lala,Brest,1924,True,
Kenny Quetant,Le Havre,108,True,
Kevin Carlos,Nice,288,True,
Kevin Trapp,Paris FC,990,True,
Khalis Merah,Lyon,659,True,
