player,team,touches,touch_map_saved,error
Aaron Anselmino,Borussia Dortmund,277,True,
Aaron Zehnter,Wolfsburg,918,True,
Abdoulie Ceesay,St. Pauli,154,True,
Aboubaka Soumahoro,Hamburg,82,True,
Adam Daghim,Wolfsburg,741,True,
Adam Dzwigala,St. Pauli,855,True,
Adam Hlozek,Hoffenheim,27,True,
Adam Kölle,FC Heidenheim,55,True,
Adrian Beck,FC Heidenheim,557,True,
Aiman Dardari,Augsburg,18,True,
Albert Grønbæk,Hamburg,233,True,
Albert Sambi Lokonga,Hamburg,1015,True,
Albian Hajdari,Hoffenheim,2088,True,
Aleix García,Leverkusen,3409,True,
Alejandro Grimaldo,Leverkusen,2584,True,
Alejo Sarco,Borussia M.Gladbach,12,True,
Alejo Sarco,Leverkusen,28,True,
Aleksandar Pavlovic,Bayern,1797,True,
Alessio Castro-Montes,FC Koln,544,True,
Alex Král,Union Berlin,246,True,
Alexander Nübel,Stuttgart,1601,True,
Alexander Prass,Hoffenheim,815,True,
Alexander Røssing-Lelesiit,Hamburg,156,True,
Alexis Claude-Maurice,Augsburg,1260,True,
Aljoscha Kemlein,Union Berlin,1236,True,
Alphonso Davies,Bayern,492,True,
Ameen Al-Dakhil,Stuttgart,318,True,
Amos Pieper,Werder Bremen,1280,True,
Andreas Hanche-Olsen,Mainz,607,True,
Andreas Skov Olsen,Wolfsburg,176,True,
Andrej Ilic,Union Berlin,808,True,
Andrej Kramaric,Hoffenheim,1339,True,
Andrija Maksimovic,RBL,65,True,
András Schäfer,Union Berlin,819,True,
Andréas Hountondji,St. Pauli,334,True,
Angelo Stiller,Stuttgart,2817,True,
Ansgar Knauff,Eintracht Frankfurt,619,True,
Anthony Caci,Mainz,512,True,
Anthony Jung,Freiburg,404,True,
Anton Kade,Augsburg,857,True,
Antonio Nusa,RBL,1186,True,
Arijon Ibrahimovic,FC Heidenheim,1356,True,
Arkadiusz Pyrka,St. Pauli,1650,True,
Armindo Sieb,Mainz,284,True,
Arnaud Kalimuendo,Eintracht Frankfurt,532,True,
Arnaud Nordin,Mainz,298,True,
Arne Maier,Augsburg,11,True,
Arthur,Leverkusen,779,True,
Arthur Chaves,Augsburg,460,True,
Arthur Chaves,Hoffenheim,181,True,
Arthur Theate,Eintracht Frankfurt,2037,True,
Assan Ouédraogo,RBL,484,True,
Atakan Karazor,Stuttgart,1373,True,
Aurèle Amenda,Eintracht Frankfurt,1675,True,
Aurélio Buta,Eintracht Frankfurt,106,True,
Axel Tape,Leverkusen,141,True,
Ayoube Amaimouni-Echghouyab,Eintracht Frankfurt,320,True,
Badredine Bouanani,Stuttgart,322,True,
Bakery Jatta,Hamburg,435,True,
Bara Sapoko Ndiaye,Bayern,167,True,
Bazoumana Touré,Hoffenheim,1282,True,
Ben Bobzien,Mainz,15,True,
Bence Dárdai,Wolfsburg,15,True,
Benedict Hollerbach,Mainz,415,True,
Benedikt Gimber,FC Heidenheim,937,True,
Benjamin Henrichs,RBL,276,True,
Bernardo,Hoffenheim,1914,True,
Bilal El Khannouss,Stuttgart,1271,True,
Brajan Gruda,RBL,464,True,
Bruno Ogbus,Freiburg,864,True,
Budu Zivzivadze,FC Heidenheim,430,True,
Cameron Puertas,Werder Bremen,1346,True,
Can Uzun,Eintracht Frankfurt,867,True,
Carl Klaus,Union Berlin,146,True,
Carney Chukwuemeka,Borussia Dortmund,612,True,
Castello Lukeba,RBL,2059,True,
Cenk Özkacar,FC Koln,1392,True,
Cenny Neumann,FC Koln,43,True,
Chema Andrés,Stuttgart,946,True,
Chris Führich,Stuttgart,1202,True,
Chrislain Matsima,Augsburg,1015,True,
Christian Conteh,FC Heidenheim,151,True,
Christian Eriksen,Wolfsburg,1644,True,
Christian Günter,Freiburg,860,True,
Christian Kofane,Leverkusen,396,True,
Christoph Baumgartner,RBL,1621,True,
Christopher Trimmel,Union Berlin,1268,True,
Claudio Echeverri,Leverkusen,104,True,
