player,team,touches,touch_map_saved,error
Abdu Conté,Casa Pia AC,845,True,
Abraham Marcus,Estrela da Amadora,1356,True,
Aderllan Santos,AVS Futebol SAD,597,True,
Adrian Barisic,Braga,339,True,
Adriano Firmino,Santa Clara,937,True,
Adriel,AVS Futebol SAD,679,True,
Afonso Assis,Moreirense,659,True,
Afonso Rodrigues,Tondela,70,True,
Agustín Moreira,Gil Vicente,456,True,
Alan,Moreirense,1607,True,
Alan Godoy,Estrela da Amadora,100,True,
Alan Núñez,Nacional,903,True,
Alan Varela,Porto,1501,True,
Alberto Costa,Porto,1612,True,
Alejandro Marqués,Estoril,417,True,
Alex Amorim,Alverca,947,True,
Alex Pinto,Arouca,209,True,
Alex Sola,Estrela da Amadora,375,True,
Alexander Bah,Benfica,387,True,
Alfonso Trezza,Arouca,816,True,
Alioune Ndoye,Vitoria de Guimaraes,315,True,
Alisson Santos,Sporting,178,True,
Alisson Souza,Estrela da Amadora,53,True,
Amadou Dante,Arouca,583,True,
Amar Dedic,Benfica,1449,True,
Amine El Ouazzani,Braga,197,True,
Anatoliy Trubin,Benfica,877,True,
Andre Green,AVS Futebol SAD,66,True,
Andreas Ntoi,Rio Ave,1347,True,
Andreas Schjelderup,Benfica,1068,True,
Andrew,Gil Vicente,668,True,
Andrey,Santa Clara,91,True,
André Ceitil,Tondela,48,True,
André Ferreira,Moreirense,960,True,
André Geraldes,Casa Pia AC,980,True,
André Gomes,Alverca,754,True,
André Lacximicant,Estoril,417,True,
André Luiz,Rio Ave,705,True,
André Sousa,Nacional,105,True,
Antef Tsoungui,Estoril,992,True,
Anthony Carter,Santa Clara,60,True,
Antoine Joujou,Famalicao,338,True,
Antonio Espigares,Gil Vicente,687,True,
Antonis Papakanellos,Rio Ave,307,True,
António Silva,Benfica,1640,True,
Anísio Cabral,Benfica,40,True,
Arjen van der Heide,Tondela,108,True,
Arnau Solà,Arouca,419,True,
Atanas Chernev,Estrela da Amadora,552,True,
Barbero,Arouca,617,True,
Bas Kuipers,Arouca,687,True,
Bastien Meupiyou,Alverca,1723,True,
Bebeto,Tondela,1260,True,
Beni Mukendi,Vitoria de Guimaraes,1621,True,
Benjamin Kimpioka,Tondela,201,True,
Benny,Moreirense,404,True,
Bernardo Fontes,Tondela,1363,True,
Bernardo Schappo,Estrela da Amadora,1495,True,
Billal Brahimi,Estrela da Amadora,64,True,
Boris Popovic,Arouca,771,True,
Borja Sainz,Porto,777,True,
Brandon Aguilera,Rio Ave,885,True,
Brayan Medina,Tondela,1230,True,
Brenner,Santa Clara,495,True,
Brian Mansilla,Arouca,224,True,
Bright Arrey-Mbi,Braga,1399,True,
Bruma,Benfica,22,True,
Bruno Langa,Estrela da Amadora,502,True,
Bruno Lourenço,AVS Futebol SAD,149,True,
Caio Secco,Moreirense,402,True,
Carlos Eduardo,Gil Vicente,80,True,
Carlos Ponck,AVS Futebol SAD,447,True,
Cassiano,Casa Pia AC,565,True,
Cedric Teguia,Moreirense,424,True,
Cezary Pawet Miszta,Rio Ave,954,True,
Charles,Vitoria de Guimaraes,740,True,
Chiheb Laabidi,Nacional,887,True,
Chiquinho,Alverca,733,True,
Christian Marques,Tondela,1544,True,
Clau Mendes,Casa Pia AC,111,True,
Clayton,Rio Ave,521,True,
Cláudio Ramos,Porto,47,True,
Conrad Harder,Sporting,26,True,
Cristian Devenish,AVS Futebol SAD,1233,True,
Cédric Nuozzi,Alverca,417,True,
Cícero,Tondela,728,True,
Dailon Livramento,Casa Pia AC,296,True,
Daniel Azevedo,Casa Pia AC,118,True,
Daniel Banjaqui,Benfica,131,True,
Daniel Bragança,Sporting,457,True,
Daniel Figueira,Gil Vicente,347,True,
Daniel Júnior,Nacional,418,True,
Daniel Rivas,AVS Futebol SAD,831,True,
Dario Spikic,Rio Ave,805,True,
Darlan,Santa Clara,37,True,
David Grilo,Estrela da Amadora,47,True,
David Simão,Arouca,546,True,
David Sousa,Casa Pia AC,1313,True,
